Num Particles,Time (s),% Speedup to MATLAB,Times faster than MATLAB
25,1.732,94.32633406,17.62528868
25,2.39,93.89527458,16.38075314
25,3.92,94.30894309,17.57142857
50,2.96,90.30366561,10.31317568
50,3.26,95.94651388,24.6701227
50,5.695,95.96531374,24.78507463
100,6.659,93.060361,14.40997147
100,7.21,95.2634345,21.11234397
100,11.83,96.14321297,25.92831784
150,7.26,95.49907006,22.21763085
150,12.64,93.54674018,15.4960443
150,16.68,95.7013633,23.26318945
200,7.77,95.05287754,20.21377091
200,11.423,95.45940574,22.02354898
200,21.06,95.39722435,21.72602089
